,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
182,La Ronge,55.1001,-105.2842,35.85,35.85,75,100,11.5
183,Lebu,-37.6167,-73.65,55.98,55.98,75,3,15.84
184,Jalu,29.0331,21.5482,65.84,65.84,67,0,25.5
185,Praia da Vitória,38.7333,-27.0667,64.65,64.76,77,75,7.07
186,Dzilam González,21.2833,-88.9333,95.22,95.22,37,1,5.86
187,Diego de Almagro,-26.3667,-70.05,73.53,73.53,22,0,12.17
188,Ambulu,-8.345,113.6058,76.64,76.64,91,99,3.11
189,Avera,33.194,-82.5271,85.57,86.56,43,92,6.35
190,Alta Floresta,-9.8756,-56.0861,94.82,94.82,46,40,3.44
191,Porto Seguro,-16.4497,-39.0647,82.92,82.92,69,20,11.5
192,Ola,59.5833,151.2833,28.15,28.15,90,33,3.2
194,Salalah,17.0151,54.0924,86.09,86.09,84,75,6.91
195,Loukhi,66.0764,33.0381,33.85,33.85,99,100,7.02
196,Vágur,61.4732,-6.8119,39.33,39.33,65,100,8.05
197,Isangel,-19.55,169.2667,78.82,78.82,88,9,9.42
198,Yangi Marg`ilon,40.4272,71.7189,79.52,79.52,34,100,4.61
199,Excelsior Springs,39.3392,-94.2261,52.97,55.58,72,100,6.91
200,Longyearbyen,78.2186,15.6401,12.04,12.04,62,40,8.05
201,Hope,33.6671,-93.5916,82.45,82.45,87,100,10.96
202,Koronowo,53.3137,17.937,56.3,56.3,51,77,8.25
203,Singuilucan,19.9667,-98.5167,74.32,74.32,28,57,4.21
204,Angoram,-4.0625,144.0661,74.71,74.71,99,95,1.14
205,Mizhou,35.9947,119.3975,51.51,51.51,63,0,6.33
206,Kibala,9.1104,18.3463,93.42,93.42,29,76,6.98
207,Coyhaique,-45.5752,-72.0662,51.75,51.75,50,75,10.36
208,Norman Wells,65.282,-126.8329,55.44,55.44,38,20,19.57
209,Sa Kaeo,13.75,102.3333,71.69,71.69,75,100,8.08
210,Nouadhibou,20.931,-17.0347,65.68,65.68,84,5,22.44
211,Taltal,-25.4,-70.4833,63.64,63.64,73,28,7.65
212,Port Hardy,50.6996,-127.4199,51.98,51.98,76,75,13.8
213,Arcos,-20.2819,-45.5394,80.76,80.76,42,2,2.95
214,Longyan,25.1072,117.0225,54.63,54.63,96,10,4.0
215,Makakilo City,21.3469,-158.0858,73.6,75.52,76,75,16.11
216,Traverse City,44.7631,-85.6206,48.61,50.72,80,100,5.75
217,Rakitnoye,50.8389,35.8515,48.42,48.42,61,7,5.19
218,Birao,10.2849,22.7882,91.56,91.56,27,4,3.36
219,Morehead,37.2711,-87.1764,77.38,77.99,38,0,3.44
220,Touros,-5.1989,-35.4608,81.41,81.41,82,34,14.27
221,Pangnirtung,66.1451,-65.7125,24.8,24.8,74,100,9.22
222,Dubăsari,47.2631,29.1608,55.51,56.3,61,35,6.64
223,Bengkulu,-3.8004,102.2655,76.98,76.98,90,100,4.65
224,Andenes,69.3143,16.1194,30.18,30.18,86,40,24.16
225,Ancud,-41.8697,-73.8203,51.35,51.35,73,78,4.43
226,Cairns,-16.9167,145.7667,72.73,73.35,94,75,4.61
227,Dāmghān,36.1683,54.348,58.53,58.53,64,89,4.59
228,Saint Anthony,45.0205,-93.218,46.53,49.1,64,100,8.05
229,Makarov,48.6333,142.8,33.08,33.08,99,100,14.32
230,Mount Isa,-20.7333,139.5,69.57,69.57,68,1,6.91
231,Les Cayes,18.2,-73.75,83.93,83.93,60,26,12.41
232,Borogontsy,62.6683,131.1683,21.51,21.51,92,100,5.93
233,Oranjemund,-28.55,16.4333,64.18,64.18,53,100,5.21
234,Salé,34.0389,-6.8166,63.28,63.28,77,40,6.91
235,Urgut,39.4022,67.2431,62.22,62.22,77,100,3.91
236,Ligayan,4.6533,119.4706,83.44,83.44,76,74,6.98
237,Palana,59.1167,159.9667,27.82,27.82,90,98,8.99
238,Nema,57.5067,50.5011,37.42,37.42,87,61,5.46
239,Tagusao,9.1924,117.8141,79.38,79.38,82,100,2.86
240,Trat,12.5,102.5,76.87,76.87,92,100,6.78
241,Qingdao,36.0986,120.3719,53.2,53.2,76,0,8.95
242,Ulaanbaatar,47.9077,106.8832,53.11,53.11,22,5,3.85
243,Rāmgarh,23.6333,85.5167,82.45,82.45,63,0,7.87
244,Lensk,60.7253,114.9278,13.51,13.51,94,15,3.56
245,Kavieng,-2.5744,150.7967,82.4,82.4,77,61,6.87
246,Te Anau,-45.4167,167.7167,45.55,45.55,84,16,1.07
247,Sitka,57.0531,-135.33,46.29,46.29,66,75,3.44
248,Severo-Kuril'sk,50.6789,156.125,33.48,33.48,86,100,4.68
249,Pingliang,35.5392,106.6861,51.15,51.15,37,0,6.31
250,Ochakiv,46.6128,31.5498,55.92,55.92,60,76,3.06
251,Santa Maria,-29.6842,-53.8069,56.5,56.5,41,75,9.22
252,Luang Prabang,19.8856,102.1347,67.93,67.93,83,46,2.82
253,Maumere,-8.6199,122.2111,79.83,79.83,71,58,2.73
254,Trairi,-3.2778,-39.2689,79.92,79.92,90,99,8.41
255,Acajutla,13.5928,-89.8275,88.7,88.7,60,100,10.47
256,Hamilton,39.1834,-84.5333,72.68,74.77,42,0,12.66
257,Salinópolis,-0.6136,-47.3561,80.74,80.74,85,94,7.87
258,Evanston,42.0411,-87.6901,51.84,53.82,68,100,8.05
259,Narón,43.5167,-8.1528,56.16,57.04,79,100,11.9
260,Saskylakh,71.9167,114.0833,3.29,3.29,95,32,7.63
261,Verkh-Usugli,52.7,115.1667,38.21,38.21,38,100,2.55
262,Alofi,-19.0595,-169.9187,80.49,80.49,89,75,10.36
263,Timbiquí,2.7717,-77.6654,83.82,83.82,70,100,6.62
264,Leningradskiy,69.3833,178.4167,9.99,9.99,89,100,4.59
265,Contamana,-7.3333,-75.0167,96.71,96.71,34,67,3.09
266,Nantucket,41.2835,-70.0995,51.91,53.74,76,100,16.11
267,Cockburn Town,21.4612,-71.1419,78.89,78.89,79,14,14.07
269,Mersing,2.4312,103.8405,75.11,75.11,94,40,3.44
270,San Cristobal,7.7669,-72.225,82.58,82.58,52,91,6.96
271,Celestún,20.8667,-90.4,88.54,88.54,57,21,8.37
272,Bambanglipuro,-7.95,110.2833,78.35,78.35,88,100,3.89
273,Pont-Rouge,46.7566,-71.6978,63.91,65.55,46,4,12.12
274,Hutchinson,38.0608,-97.9298,56.41,59.74,95,100,13.8
275,Ust-Kuyga,70.0167,135.6,14.99,14.99,95,100,5.97
276,Oeiras,-7.0253,-42.1311,93.6,93.6,36,100,6.49
277,Manggar,-2.8833,108.2667,83.28,83.28,79,100,11.48
278,Bathsheba,13.2167,-59.5167,84.81,84.81,74,75,20.71
279,Churapcha,62.0025,132.4325,23.56,23.56,82,99,8.05
280,Panabá,21.2833,-88.2667,95.65,95.65,33,18,7.92
281,Kailua,21.4022,-157.7394,74.59,76.98,86,100,14.97
282,Karratha,-20.7377,116.8463,80.51,80.51,54,0,6.89
283,Natal,-5.795,-35.2094,84.42,84.85,79,40,17.27
284,Pemangkat,1.1667,108.9667,78.03,78.03,89,100,4.52
285,Tashtagol,52.7657,87.8894,49.26,49.26,79,97,5.21
286,Grand Gaube,-20.0064,57.6608,75.38,75.38,77,3,3.0
287,St. George's,12.0564,-61.7485,85.68,85.68,70,20,28.77
288,Cidreira,-30.1811,-50.2056,61.68,61.68,83,100,8.46
289,Santa Fe,-31.6333,-60.7,63.32,65.01,57,100,5.01
290,San Dionisio,12.7602,-85.8502,91.35,91.35,40,80,11.83
291,Lagoa,39.05,-27.9833,61.81,61.81,81,7,8.23
292,Hāngal,14.7667,75.1333,74.03,74.03,87,95,10.36
293,Arraial do Cabo,-22.9661,-42.0278,82.26,82.36,69,0,10.36
294,Ambon City,-3.6954,128.1814,77.14,77.14,94,20,2.3
295,Gorontalo,0.5412,123.0595,75.27,75.27,95,42,2.55
296,Saint-Augustin,51.226,-58.6502,40.35,40.35,85,100,15.59
297,Padilla,3.2204,-76.3139,85.57,85.57,59,23,1.83
298,Brae,60.3964,-1.353,41.45,41.45,66,100,13.0
299,Hudiksvall,61.729,17.1036,44.19,44.19,48,0,15.9
300,Kantunilkín,21.0917,-87.45,94.03,94.03,35,26,8.12
301,Port Macquarie,-31.4333,152.9167,53.89,53.89,88,2,5.86
302,Hornostayivka,47.0078,33.729,52.54,52.54,75,64,10.36
303,Folldal,62.1325,9.9968,29.97,29.97,81,70,8.52
304,Kalengwa,-13.4659,25.0027,58.42,58.42,75,86,5.12
305,Zaysan,47.4667,84.8667,59.52,59.52,61,18,1.59
306,Bay Roberts,47.5999,-53.2648,43.41,46.65,86,100,3.0
307,Hay River,60.8156,-115.7999,51.78,51.78,37,20,20.71
308,Campoverde,-8.4753,-74.8058,89.29,89.29,36,92,1.81
309,Linqiong,30.4159,103.4609,55.22,55.22,58,100,4.9
310,Cangzhou,38.3167,116.8667,62.44,62.44,33,13,9.28
311,Egvekinot,66.3167,-179.1667,12.11,12.11,67,100,1.45
312,Honningsvåg,70.9821,25.9704,29.95,29.95,69,75,19.57
313,Sept-Îles,50.2001,-66.3821,45.05,45.12,53,75,7.0
314,Ostrovnoy,68.0531,39.5131,31.75,31.75,98,100,12.24
315,Samfya,-11.3649,29.5565,66.83,66.83,65,100,9.91
316,Tsimmerbude,54.675,20.1347,42.85,42.96,54,18,1.83
317,Torbay,47.6666,-52.7314,42.24,45.88,91,100,11.5
318,Hambantota,6.1241,81.1185,81.01,81.01,83,70,15.03
319,Praia,14.9215,-23.5087,77.54,77.54,61,29,17.27
320,Batemans Bay,-35.7167,150.1833,55.09,55.09,85,0,4.21
321,Awjilah,29.1081,21.2869,65.34,65.34,69,0,25.19
322,Ixtapa,20.7,-105.2,79.83,79.83,65,0,11.5
323,Halifax,44.6453,-63.5724,57.34,58.48,29,20,13.8
324,Tabou,4.423,-7.3528,81.55,81.55,79,45,7.31
325,Iqaluit,63.7506,-68.5145,20.7,20.93,73,100,17.27
326,Christchurch,-43.5333,172.6333,50.22,51.94,92,75,2.3
327,Cheremnoye,53.1697,83.2133,46.99,46.99,58,0,6.13
328,Fairbanks,64.8378,-147.7164,48.99,50.34,46,75,6.91
331,Yerbogachën,61.2767,108.0108,29.28,29.28,67,100,13.31
332,Sahagún,8.9462,-75.4427,77.97,77.97,62,100,2.55
333,Lamu,-2.2717,40.902,80.82,80.82,82,100,16.37
334,Grahamstown,-33.3042,26.5328,57.96,57.96,87,0,4.68
335,Whitehorse,60.7161,-135.0538,44.82,47.01,52,97,5.99
336,Key West,24.5557,-81.7826,85.21,89.6,63,20,17.27
338,Racale,39.9631,18.0938,59.34,59.34,74,25,7.65
339,Hasaki,35.7333,140.8333,48.6,48.6,72,100,15.08
340,Thompson,55.7435,-97.8558,32.16,32.16,55,40,4.61
341,Sinjār,36.3209,41.8754,69.85,69.85,39,19,5.14
342,Villa Juárez,24.6536,-107.5411,88.05,91.71,40,0,10.36
343,Lüderitz,-26.6481,15.1594,70.74,70.74,39,78,5.41
344,Baruun-Urt,46.6806,113.2792,54.72,54.72,23,75,8.81
345,Kungurtug,50.5994,97.5228,48.06,48.06,41,97,1.61
346,Cubará,7.0008,-72.1085,80.47,80.47,71,87,1.7
347,Dogbo,6.8167,1.7833,78.46,78.46,84,88,6.69
348,Amahai,-3.3333,128.9167,78.51,78.51,86,71,3.91
349,Verkhnyaya Inta,65.9811,60.3094,25.36,25.36,83,100,7.78
350,George Town,5.4112,100.3354,80.53,80.53,89,20,3.44
351,Boa Vista,2.8197,-60.6733,91.38,91.38,43,40,14.97
352,Ulladulla,-35.35,150.4667,50.9,50.9,89,1,5.1
353,Huarmey,-10.0681,-78.1522,72.14,72.14,71,98,11.3
354,Mossendjo,-2.9506,12.7261,71.01,71.01,98,100,1.07
355,Eureka,40.8021,-124.1637,55.18,56.93,70,20,11.99
356,Puerto del Rosario,28.5004,-13.8627,67.75,67.75,77,20,18.41
357,Usvyaty,55.7456,30.7533,43.77,43.77,79,99,5.01
358,Barcelos,41.5388,-8.6151,61.56,62.92,65,100,11.74
359,Souillac,-20.5167,57.5167,73.78,73.78,94,75,5.75
360,Upernavik,72.7868,-56.1549,12.78,12.78,77,67,2.77
361,Faanui,-16.4833,-151.75,80.91,80.91,75,100,9.62
362,Tura,25.5198,90.2201,70.34,70.34,95,100,1.66
363,Luganville,-15.5333,167.1667,76.89,76.89,88,35,4.45
364,Rosário do Sul,-30.2583,-54.9142,57.65,57.65,89,100,5.12
365,Paamiut,61.994,-49.6678,33.12,33.12,82,18,11.83
366,San Rafael,-34.6177,-68.3301,62.98,62.98,29,0,8.14
367,Harper,4.375,-7.7169,81.37,81.37,79,16,7.27
368,Bonavista,48.6499,-53.1147,38.41,38.41,93,94,12.44
369,Takhtamygda,54.1,123.5667,25.23,25.23,57,0,8.66
370,Meïganga,6.5167,14.3,65.77,65.77,90,100,3.65
371,São Filipe,14.8961,-24.4956,74.48,74.48,75,98,12.3
372,Nome,64.5011,-165.4064,33.85,33.87,45,0,12.66
373,Flinders,-34.5833,150.8552,57.69,59.38,87,3,3.0
374,Kumba,4.6363,9.4469,73.49,73.49,96,89,0.87
375,Huntington Beach,33.6603,-117.9992,67.15,71.96,72,75,6.91
376,Dunmore Town,25.5,-76.65,77.02,77.02,75,0,18.95
377,Puri,19.8,85.85,84.72,84.72,89,90,15.05
378,Totness,5.8833,-56.3167,83.5,83.5,65,18,10.89
379,Faya,18.3851,42.4509,64.92,68.11,54,46,1.72
380,Kalamare,-22.9337,26.5703,60.37,60.37,50,0,6.51
381,Rio Grande,-32.035,-52.0986,64.94,68.11,65,100,15.66
382,Belmonte,-15.8631,-38.8828,80.38,80.38,67,6,5.99
383,Naze,28.3667,129.4833,63.52,63.52,54,100,11.63
384,Lianran,24.9227,102.485,48.74,48.74,65,100,6.04
385,Tyup,42.7276,78.3648,57.25,57.25,29,13,2.33
386,Los Llanos de Aridane,28.6585,-17.9182,65.12,65.12,85,75,18.41
387,Den Helder,52.9599,4.7593,50.45,52.02,77,75,5.99
388,Ndélé,8.4109,20.6473,82.08,82.08,47,72,7.43
389,Anadyr,64.75,177.4833,19.9,19.9,86,0,6.71
390,Mattru,7.6244,-11.8332,80.15,80.15,83,66,6.04
391,Balyqshy,47.0667,51.8667,55.4,55.4,35,0,13.42
392,Fort Payne,34.4442,-85.7197,83.52,84.72,52,40,9.22
393,Plaeng Yao,13.5847,101.284,76.26,78.03,99,99,9.42
394,Florianópolis,-27.6146,-48.5012,62.83,66.36,97,100,4.61
395,Urmary,55.6789,47.944,42.28,42.28,80,75,6.06
396,Vao,-22.6667,167.4833,75.79,75.79,88,10,8.21
397,Ca Mau,9.1769,105.15,79.0,79.0,88,78,3.87
398,Caravelas,-17.7125,-39.2481,81.27,81.27,64,0,8.16
399,Maryville,35.7565,-83.9705,80.56,83.68,43,100,6.91
400,Gold Coast,-28.0,153.4333,60.31,62.67,90,40,8.05
401,Kuusamo,65.9667,29.1833,32.04,32.04,86,0,6.91
402,Mabaruma,8.2,-59.7833,86.36,86.36,57,48,8.1
403,Humberto de Campos,-2.5983,-43.4611,85.21,85.21,75,99,2.84
404,Lavrentiya,65.5833,-171.0,12.83,12.83,82,27,6.2
405,Kamakwie,9.5,-12.2333,81.95,81.95,75,100,9.86
406,Half Moon Bay,37.4636,-122.4286,58.71,64.42,80,75,17.27
407,Port Hedland,-20.3167,118.5667,73.45,73.45,73,0,8.05
